tracking_id	control_20min_0	20bicyclomycin_20min_0	100bicyclomycin_20min_0	control_60min_0	20bicyclomycin_60min_0
b0001	35.8598	5.27715	8.21664	22.3935	0
b0002	5418.81	913.827	1362.32	8348.06	3891.89
b0003	1576.5	313.111	416.583	2027.2	760.58
b0004	5873.04	1670.22	1556.23	6615.51	3013.78
b0005	326.723	473.185	514.361	229.828	652.286
b0006	4896.85	2541.83	1477.35	2873.44	1788.96
b0007	846.026	1514.54	828.237	1195.11	1458.2
b0008	61401.3	22387.4	9716.17	57119.9	35361.1
b0009	2325.57	2891	2396.79	2083.77	4997.5
b0010	1134.23	2301.72	2664.66	1079.6	4127.79
b0011	124.845	831.151	4831.38	115.503	1647.08
b0013	74.3759	263.858	1616.21	88.3954	720.285
b0014	120160	19813.9	30722.8	64780.8	41230
b0015	16553.9	6950.01	6848.57	10972.8	6950.16
b0016	0	0	0	0	0
b0018	47.7199	250.235	875.893	77.7868	324.853
b0019	2357.45	1861.08	2373.79	2931.19	2201.99
b0020	2731.99	2759.07	3827.31	2525.75	2753.54
b0021	0	0	0	0	0
b0022	0	0	0	0	0
b0023	47045.4	40817.9	21473.4	41781.5	17560.5
b0024	66.407	123.134	267.041	119.039	30.2217
b0025	11732.8	7300.06	2388.58	12574.5	4784.27
b0026	40265.2	13425.1	5563.48	30048.5	14953.9
b0027	3098.55	1175.93	579.273	2206.35	1082.95
b0028	3308.4	2058.97	976.958	3059.66	2195.27
b0029	4930.06	2751.16	1803.55	3351.95	2002.19
b0030	1027.98	656.126	280.187	935.812	805.074
b0031	3960.52	1135.47	548.05	2228.74	1277.71
b0032	2475.65	2752.91	1395.18	40579.4	19582
b0033	7088.29	4427.53	13214.8	79038.4	43988.6
b0034	588.366	384.353	1374.64	1193.93	764.778
b0035	77.0322	234.833	646.649	108.432	750.507
b0036	49.1412	222.52	584.203	86.0382	491.103
b0037	795.556	1715.95	3040.16	1005.35	1639.53
b0038	406.411	635.897	1264.54	530.372	1183.68
b0039	903.136	1279.71	1701.67	1050.14	1024.18
b0040	81.0166	168.869	1119.11	56.573	338.316
b0041	79.6884	184.7	1222.64	75.4307	208.194
b0042	26.5628	78.2778	769.899	28.2865	152.788
b0043	62.4226	62.4463	1259.61	49.5014	114.171
b0044	14.6095	21.9881	227.601	7.07163	48.6906
b0045	57.1101	152.158	1495.43	53.0372	218.268
b0046	557.819	168.869	451.093	480.871	223.305
b0047	1429.08	1342.16	2382	1411.97	1729.36
b0048	5163.81	5580.59	2724.64	4908.89	3186.71
b0049	3350.9	4589.36	2321.2	2768.54	3488.09
b0050	2799.72	3205.87	1558.7	2671.9	2529.39
b0051	12853.7	10675.7	3352.39	11800.2	8180.86
b0052	8990.18	10471.6	2331.88	10871.5	6447.3
b0053	25116.5	11280.8	3705.7	22049.3	10110.9
b0054	28245.6	11523.5	3524.94	25002.9	10877.3
b0055	1888.62	1361.51	864.39	1752.59	1625.26
b0058	2831.6	2747.64	1886.54	1822.12	1953.5
b0059	12581.5	6638.66	3622.72	5984.96	4099.24
b0060	2132.99	1502.23	1675.37	2013.06	1384.32
b0061	39.8442	96.7478	514.361	75.4307	310.612
b0062	302.816	352.69	1211.13	287.58	767.296
b0063	78.3603	227.797	1825.74	152.04	334.958
b0064	766.337	444.16	789.619	817.952	557.423
b0065	551.178	2375.6	1176.62	500.907	1927.48
b0066	1751.82	1643.83	921.085	1344.79	1192.08
b0067	3922	2675.52	1296.59	3425.03	1690.74
b0068	10039.4	5285.95	1278.51	8404.63	3695.45
b0069	1450.33	935.815	623.643	1488.58	873.072
b0070	891.182	991.225	514.361	933.455	1010.75
b0071	691.961	854.019	659.796	776.701	617.027
b0072	557.819	258.58	700.879	684.77	576.732
b0073	536.569	267.376	801.944	915.776	418.907
b0074	735.79	266.496	699.236	909.883	723.643
b0075	54.4538	61.5668	29.5799	27.1079	20.9873
b0076	349.301	968.357	2841.31	380.689	1548.86
b0077	864.62	699.223	612.139	644.697	1283.58
b0078	375.864	265.617	182.409	342.974	332.439
b0080	4519.66	3642.99	970.385	5596.02	3064.15
b0081	2990.97	2571.73	1255.5	3532.28	2317
b0082	8757.76	7074.9	2609.6	7401.64	4377.12
b0083	1429.08	861.935	456.023	1203.36	680.829
b0084	14966.8	12228.9	5409.83	13254.6	8205.2
b0085	6789.46	3311.41	2370.5	4973.71	4146.25
b0086	8526.66	4372.12	2349.96	6456.4	4463.58
b0087	3611.21	1676.38	1019.68	2198.1	1376.77
b0088	6542.42	3800.43	2400.08	4054.4	2866.03
b0089	2692.14	1856.68	1234.96	2102.63	1384.32
